Array Probe	Category Component
	ENSDARG00000101892
	ENSDARG00000029474
A_15_P160246	ENSDARG00000029474
A_15_P153581	ENSDARG00000099049
	ENSDARG00000092147
	ENSDARG00000055903
A_15_P110663	ENSDARG00000055903
A_15_P120576	ENSDARG00000055903
	ENSDARG00000005210
A_15_P104206	ENSDARG00000005210
A_15_P171106	ENSDARG00000044549
	ENSDARG00000095301
	ENSDARG00000022280
A_15_P104430	ENSDARG00000022280
A_15_P179301	ENSDARG00000022280
A_15_P449950	ENSDARG00000022280
	ENSDARG00000079651
A_15_P131476	ENSDARG00000043130
A_15_P131541	ENSDARG00000043130
A_15_P132161	ENSDARG00000043130
A_15_P189211	ENSDARG00000043130
	ENSDARG00000097822
A_15_P104400	ENSDARG00000054259
	ENSDARG00000054259
	ENSDARG00000094754
	ENSDARG00000101564
A_15_P150956	ENSDARG00000026236
	ENSDARG00000096987
	ENSDARG00000094041
A_15_P108038	ENSDARG00000094041
	ENSDARG00000093203
A_15_P181011	ENSDARG00000069421
A_15_P113643	ENSDARG00000069421
	ENSDARG00000063180
A_15_P559817	ENSDARG00000063180
A_15_P181571	ENSDARG00000087100
A_15_P181096	ENSDARG00000098766
A_15_P194811	ENSDARG00000098766
	ENSDARG00000098766
	ENSDARG00000099858
A_15_P193161	ENSDARG00000007186
	ENSDARG00000116990
A_15_P102267	ENSDARG00000004141
A_15_P597972	ENSDARG00000076547
A_15_P108560	ENSDARG00000011862
A_15_P197351	ENSDARG00000011862
A_15_P172061	ENSDARG00000017910
A_15_P259281	ENSDARG00000077962
A_15_P519232	ENSDARG00000090543
A_15_P148616	ENSDARG00000075161
	ENSDARG00000100617
A_15_P558037	ENSDARG00000093120
A_15_P106524	ENSDARG00000100697
A_15_P350060	ENSDARG00000100697
A_15_P163241	ENSDARG00000094548
A_15_P110091	ENSDARG00000002731
	ENSDARG00000079231
A_15_P190146	ENSDARG00000052045
A_15_P165061	ENSDARG00000042810
A_15_P118123	ENSDARG00000098172
A_15_P488230	ENSDARG00000098172
A_15_P118861	ENSDARG00000087996
A_15_P102388	ENSDARG00000004774
A_15_P403290	ENSDARG00000004774
A_15_P118123	ENSDARG00000102189
A_15_P488230	ENSDARG00000102189
A_15_P116034	ENSDARG00000039400
	ENSDARG00000039400
A_15_P153186	ENSDARG00000030307
	ENSDARG00000030307
	ENSDARG00000098397
	ENSDARG00000098047
A_15_P302966	ENSDARG00000070833
A_15_P114609	ENSDARG00000070833
	ENSDARG00000074662
	ENSDARG00000102443
A_15_P100121	ENSDARG00000076283
	ENSDARG00000076283
	ENSDARG00000074381
A_15_P219161	ENSDARG00000074381
A_15_P410310	ENSDARG00000074381
A_15_P106840	ENSDARG00000011727
	ENSDARG00000011727
	ENSDARG00000076094
A_15_P173881	ENSDARG00000069329
	ENSDARG00000069329
A_15_P165056	ENSDARG00000058724
	ENSDARG00000098986
	ENSDARG00000102625
	ENSDARG00000071090
A_15_P165051	ENSDARG00000105827
	ENSDARG00000058996
	ENSDARG00000099046
	ENSDARG00000093583
A_15_P111434	ENSDARG00000035290
A_15_P120510	ENSDARG00000099642
A_15_P133681	ENSDARG00000012694
A_15_P135591	ENSDARG00000012694
A_15_P105989	ENSDARG00000055389
A_15_P177106	ENSDARG00000055389
A_15_P201836	ENSDARG00000055389
A_15_P490582	ENSDARG00000080000
A_15_P210001	ENSDARG00000057239
A_15_P169966	ENSDARG00000019507
A_15_P601542	ENSDARG00000019507
A_15_P176091	ENSDARG00000053559
	ENSDARG00000009087
	ENSDARG00000051879
A_15_P136786	ENSDARG00000051879
A_15_P109584	ENSDARG00000008480
	ENSDARG00000008480
	ENSDARG00000091584
A_15_P113559	ENSDARG00000020956
	ENSDARG00000036036
A_15_P211221	ENSDARG00000036036
	ENSDARG00000057060
A_15_P149821	ENSDARG00000098825
A_15_P375950	ENSDARG00000098825
A_15_P109837	ENSDARG00000031757
A_15_P448990	ENSDARG00000031757
A_15_P169276	ENSDARG00000094973
A_15_P106397	ENSDARG00000030614
A_15_P193896	ENSDARG00000030614
A_15_P102802	ENSDARG00000030614
A_15_P113937	ENSDARG00000030614
A_15_P117007	ENSDARG00000000830
	ENSDARG00000114532
A_15_P208736	ENSDARG00000041372
	ENSDARG00000041372
	ENSDARG00000070801
A_15_P110430	ENSDARG00000101669
A_15_P592227	ENSDARG00000101669
A_15_P108050	ENSDARG00000101669
	ENSDARG00000101669
A_15_P115368	ENSDARG00000006553
A_15_P432420	ENSDARG00000006553
A_15_P175656	ENSDARG00000006553
	ENSDARG00000006553
	ENSDARG00000039354
A_15_P113521	ENSDARG00000039354
	ENSDARG00000100258
	ENSDARG00000033440
A_15_P110822	ENSDARG00000033440
	ENSDARG00000074779
A_15_P545487	ENSDARG00000074779
A_15_P105704	ENSDARG00000028017
	ENSDARG00000101088
	ENSDARG00000103575
	ENSDARG00000041454
A_15_P585487	ENSDARG00000041828
	ENSDARG00000041828
A_15_P120945	ENSDARG00000017500
	ENSDARG00000017500
	ENSDARG00000102957
A_15_P180241	ENSDARG00000031907
	ENSDARG00000031907
A_15_P109387	ENSDARG00000031907
	ENSDARG00000112170
	ENSDARG00000070850
	ENSDARG00000007323
A_15_P107188	ENSDARG00000007323
A_15_P212066	ENSDARG00000007323
	ENSDARG00000053542
	ENSDARG00000101646
A_15_P141966	ENSDARG00000086412
A_15_P321791	ENSDARG00000074023
	ENSDARG00000069823
A_15_P109413	ENSDARG00000100815
	ENSDARG00000078645
A_15_P109645	ENSDARG00000039406
A_15_P305941	ENSDARG00000039406
A_15_P450730	ENSDARG00000039406
	ENSDARG00000039406
	ENSDARG00000096252
	ENSDARG00000097776
A_15_P104386	ENSDARG00000059951
A_15_P120548	ENSDARG00000062244
A_15_P131161	ENSDARG00000062244
A_15_P139836	ENSDARG00000086268
	ENSDARG00000028327
A_15_P555087	ENSDARG00000094504
	ENSDARG00000094504
A_15_P561512	ENSDARG00000096502
	ENSDARG00000093710
A_15_P108758	ENSDARG00000100951
A_15_P108438	ENSDARG00000008931
A_15_P111314	ENSDARG00000008931
A_15_P148896	ENSDARG00000008931
A_15_P101979	ENSDARG00000015072
	ENSDARG00000101869
A_15_P175866	ENSDARG00000089000
A_15_P155641	ENSDARG00000093367
A_15_P416160	ENSDARG00000075149
A_15_P285736	ENSDARG00000056784
A_15_P498602	ENSDARG00000056784
A_15_P173591	ENSDARG00000014098
A_15_P204076	ENSDARG00000006151
	ENSDARG00000096627
A_15_P104295	ENSDARG00000018441
A_15_P307686	ENSDARG00000061747
A_15_P110374	ENSDARG00000020448
	ENSDARG00000055132
A_15_P195701	ENSDARG00000022938
	ENSDARG00000052923
A_15_P209451	ENSDARG00000052923
	ENSDARG00000112750
A_15_P155966	ENSDARG00000042643
A_15_P203331	ENSDARG00000053544
	ENSDARG00000095267
A_15_P317071	ENSDARG00000097766
A_15_P206986	ENSDARG00000056559
A_15_P191206	ENSDARG00000098164
A_15_P188876	ENSDARG00000058990
	ENSDARG00000095016
A_15_P205341	ENSDARG00000090592
A_15_P109081	ENSDARG00000036295
A_15_P118216	ENSDARG00000036295
A_15_P171846	ENSDARG00000046090
A_15_P314726	ENSDARG00000104784
	ENSDARG00000095038
	ENSDARG00000069566
A_15_P180043	ENSDARG00000007195
A_15_P109413	ENSDARG00000025397
A_15_P172236	ENSDARG00000025397
	ENSDARG00000094801
A_15_P115512	ENSDARG00000098529
	ENSDARG00000098529
	ENSDARG00000111108
	ENSDARG00000095179
	ENSDARG00000019572
A_15_P103577	ENSDARG00000020311
A_15_P285296	ENSDARG00000020311
	ENSDARG00000020311
	ENSDARG00000092890
A_15_P133526	ENSDARG00000105177
	ENSDARG00000105177
A_15_P109322	ENSDARG00000105177
A_15_P203436	ENSDARG00000004870
	ENSDARG00000004870
	ENSDARG00000090628
A_15_P162739	ENSDARG00000117173
	ENSDARG00000103747
	ENSDARG00000094556
	ENSDARG00000098884
	ENSDARG00000068232
A_15_P101101	ENSDARG00000032630
	ENSDARG00000032630
A_15_P201461	ENSDARG00000032630
A_15_P283276	ENSDARG00000032630
	ENSDARG00000097093
A_15_P189651	ENSDARG00000016404
	ENSDARG00000016404
A_15_P142720	ENSDARG00000116668
A_15_P172901	ENSDARG00000058865
	ENSDARG00000097968
	ENSDARG00000053114
A_15_P108633	ENSDARG00000041991
	ENSDARG00000089333
	ENSDARG00000103746
A_15_P307861	ENSDARG00000103746
	ENSDARG00000113769
	ENSDARG00000070019
A_15_P176141	ENSDARG00000070019
A_15_P206491	ENSDARG00000058733
	ENSDARG00000103119
	ENSDARG00000071183
A_15_P159046	ENSDARG00000063054
	ENSDARG00000063054
A_15_P143061	ENSDARG00000034600
	ENSDARG00000078707
A_15_P346440	ENSDARG00000078707
	ENSDARG00000058964
A_15_P204056	ENSDARG00000058964
	ENSDARG00000105122
	ENSDARG00000099353
A_15_P155606	ENSDARG00000034222
	ENSDARG00000034222
	ENSDARG00000037559
A_15_P102148	ENSDARG00000037559
A_15_P108713	ENSDARG00000037559
A_15_P119510	ENSDARG00000045639
A_15_P504487	ENSDARG00000045639
A_15_P120793	ENSDARG00000045639
	ENSDARG00000045639
A_15_P280806	ENSDARG00000045639
A_15_P394030	ENSDARG00000045639
A_15_P114795	ENSDARG00000067605
A_15_P546947	ENSDARG00000067605
	ENSDARG00000040123
A_15_P156796	ENSDARG00000058147
	ENSDARG00000103360
	ENSDARG00000095011
	ENSDARG00000006235
A_15_P159566	ENSDARG00000102034
	ENSDARG00000010154
	ENSDARG00000076174
A_15_P206666	ENSDARG00000023537
A_15_P114012	ENSDARG00000104188
	ENSDARG00000104188
	ENSDARG00000042752
A_15_P110592	ENSDARG00000039577
A_15_P142336	ENSDARG00000039577
A_15_P178151	ENSDARG00000039577
	ENSDARG00000039577
	ENSDARG00000095859
A_15_P115027	ENSDARG00000015905
	ENSDARG00000015905
	ENSDARG00000100586
A_15_P156566	ENSDARG00000016093
	ENSDARG00000016093
	ENSDARG00000104836
A_15_P488980	ENSDARG00000096949
	ENSDARG00000102544
	ENSDARG00000078625
	ENSDARG00000101823
A_15_P152311	ENSDARG00000063255
A_15_P118416	ENSDARG00000009735
A_15_P146431	ENSDARG00000021193
A_15_P561762	ENSDARG00000021193
A_15_P597362	ENSDARG00000021193
	ENSDARG00000021193
A_15_P108700	ENSDARG00000054906
A_15_P146596	ENSDARG00000054906
	ENSDARG00000101422
A_15_P110195	ENSDARG00000006782
A_15_P119746	ENSDARG00000060510
A_15_P191071	ENSDARG00000060510
A_15_P493422	ENSDARG00000060510
A_15_P544952	ENSDARG00000054755
A_15_P107464	ENSDARG00000038784
	ENSDARG00000038784
A_15_P456190	ENSDARG00000097939
A_15_P170096	ENSDARG00000053896
A_15_P420460	ENSDARG00000053896
A_15_P104698	ENSDARG00000013063
A_15_P118837	ENSDARG00000013063
A_15_P130526	ENSDARG00000013063
	ENSDARG00000013063
A_15_P584372	ENSDARG00000093145
A_15_P186266	ENSDARG00000070394
A_15_P110544	ENSDARG00000078785
	ENSDARG00000097050
A_15_P109223	ENSDARG00000028533
A_15_P182686	ENSDARG00000028533
	ENSDARG00000028533
	ENSDARG00000103697
A_15_P102463	ENSDARG00000103697
A_15_P194796	ENSDARG00000103697
A_15_P110895	ENSDARG00000045658
A_15_P112976	ENSDARG00000045658
A_15_P159186	ENSDARG00000045658
	ENSDARG00000045658
	ENSDARG00000069208
	ENSDARG00000074390
	ENSDARG00000038668
A_15_P115237	ENSDARG00000038668
	ENSDARG00000089131
A_15_P147306	ENSDARG00000052693
A_15_P363845	ENSDARG00000052693
	ENSDARG00000093518
A_15_P206356	ENSDARG00000042641
	ENSDARG00000042641
A_15_P261506	ENSDARG00000036159
	ENSDARG00000091783
	ENSDARG00000056780
A_15_P146011	ENSDARG00000056780
A_15_P105025	ENSDARG00000102636
	ENSDARG00000102636
A_15_P117936	ENSDARG00000070654
A_15_P120907	ENSDARG00000061692
	ENSDARG00000094457
	ENSDARG00000011701
A_15_P166106	ENSDARG00000099069
A_15_P183836	ENSDARG00000055216
A_15_P460140	ENSDARG00000078676
	ENSDARG00000078676
	ENSDARG00000098965
	ENSDARG00000069378
	ENSDARG00000094214
A_15_P198711	ENSDARG00000038909
	ENSDARG00000103709
	ENSDARG00000091144
	ENSDARG00000112016
A_15_P260101	ENSDARG00000091222
	ENSDARG00000069441
A_15_P139671	ENSDARG00000069206
A_15_P151811	ENSDARG00000115277
A_15_P191686	ENSDARG00000043818
A_15_P150467	ENSDARG00000069213
	ENSDARG00000079104
	ENSDARG00000098209
A_15_P235701	ENSDARG00000010244
A_15_P116936	ENSDARG00000005122
A_15_P173226	ENSDARG00000104018
A_15_P196100	ENSDARG00000113793
A_15_P196446	ENSDARG00000033760
	ENSDARG00000033760
A_15_P410650	ENSDARG00000019250
A_15_P110795	ENSDARG00000014626
A_15_P144956	ENSDARG00000035797
	ENSDARG00000035797
	ENSDARG00000086390
A_15_P142301	ENSDARG00000071872
	ENSDARG00000071872
A_15_P109018	ENSDARG00000019709
	ENSDARG00000053155
A_15_P335349	ENSDARG00000105273
	ENSDARG00000105273
A_15_P113328	ENSDARG00000038785
	ENSDARG00000110650
	ENSDARG00000006044
A_15_P169776	ENSDARG00000029747
	ENSDARG00000076439
A_15_P112284	ENSDARG00000076439
A_15_P153031	ENSDARG00000070681
A_15_P210966	ENSDARG00000069214
A_15_P567387	ENSDARG00000069214
	ENSDARG00000069214
A_15_P110068	ENSDARG00000021225
A_15_P173096	ENSDARG00000021225
	ENSDARG00000021225
	ENSDARG00000090607
	ENSDARG00000096539
	ENSDARG00000058690
A_15_P143986	ENSDARG00000022466
A_15_P190421	ENSDARG00000071879
A_15_P307501	ENSDARG00000071879
A_15_P112681	ENSDARG00000074393
	ENSDARG00000074393
	ENSDARG00000091801
	ENSDARG00000096866
	ENSDARG00000110973
A_15_P118976	ENSDARG00000027129
	ENSDARG00000037484
A_15_P115635	ENSDARG00000043307
	ENSDARG00000076609
A_15_P192486	ENSDARG00000018623
	ENSDARG00000009899
	ENSDARG00000041982
A_15_P102982	ENSDARG00000054378
A_15_P205071	ENSDARG00000054378
	ENSDARG00000054378
A_15_P149504	ENSDARG00000086692
	ENSDARG00000110606
A_15_P489717	ENSDARG00000088332
	ENSDARG00000043816
	ENSDARG00000030913
A_15_P176586	ENSDARG00000030913
A_15_P153977	ENSDARG00000112794
	ENSDARG00000057108
	ENSDARG00000098668
	ENSDARG00000113660
	ENSDARG00000102856
A_15_P118215	ENSDARG00000013329
	ENSDARG00000098053
A_15_P240921	ENSDARG00000069122
A_15_P205896	ENSDARG00000069122
	ENSDARG00000097294
	ENSDARG00000114124
	ENSDARG00000088891
A_15_P165046	ENSDARG00000105793
A_15_P105323	ENSDARG00000056695
	ENSDARG00000056695
	ENSDARG00000020455
	ENSDARG00000024619
A_15_P188371	ENSDARG00000017193
A_15_P105581	ENSDARG00000003109
A_15_P111020	ENSDARG00000003109
A_15_P165041	ENSDARG00000105833
	ENSDARG00000056617
A_15_P165511	ENSDARG00000040553
	ENSDARG00000040553
A_15_P472180	ENSDARG00000060496
A_15_P550707	ENSDARG00000060496
	ENSDARG00000060496
A_15_P258746	ENSDARG00000096306
	ENSDARG00000018106
	ENSDARG00000004724
A_15_P105920	ENSDARG00000004724
A_15_P208976	ENSDARG00000038000
	ENSDARG00000093073
A_15_P110380	ENSDARG00000000568
	ENSDARG00000000568
A_15_P298706	ENSDARG00000095890
A_15_P116344	ENSDARG00000070161
A_15_P180176	ENSDARG00000070161
	ENSDARG00000070161
	ENSDARG00000068240
	ENSDARG00000099054
A_15_P262366	ENSDARG00000099054
	ENSDARG00000102604
	ENSDARG00000090969
A_15_P118187	ENSDARG00000030933
	ENSDARG00000030933
	ENSDARG00000104639
	ENSDARG00000093089
A_15_P146871	ENSDARG00000008912
	ENSDARG00000015971
A_15_P194731	ENSDARG00000015971
A_15_P169641	ENSDARG00000102339
A_15_P107387	ENSDARG00000024465
	ENSDARG00000098575
	ENSDARG00000098437
A_15_P198571	ENSDARG00000039052
	ENSDARG00000075821
A_15_P183261	ENSDARG00000075821
A_15_P207766	ENSDARG00000040556
A_15_P181451	ENSDARG00000068761
	ENSDARG00000097132
A_15_P132496	ENSDARG00000053569
A_15_P151271	ENSDARG00000053569
A_15_P100729	ENSDARG00000060115
A_15_P112463	ENSDARG00000060115
A_15_P178691	ENSDARG00000060115
A_15_P484200	ENSDARG00000060115
A_15_P114537	ENSDARG00000101615
A_15_P101400	ENSDARG00000034677
	ENSDARG00000034677
A_15_P152441	ENSDARG00000034677
A_15_P449915	ENSDARG00000099445
	ENSDARG00000099445
	ENSDARG00000102844
A_15_P106733	ENSDARG00000093022
A_15_P114537	ENSDARG00000093022
A_15_P283886	ENSDARG00000043740
A_15_P193451	ENSDARG00000060106
A_15_P180481	ENSDARG00000060025
	ENSDARG00000095830
	ENSDARG00000055538
A_15_P151881	ENSDARG00000055538
A_15_P117482	ENSDARG00000039051
A_15_P110850	ENSDARG00000093438
	ENSDARG00000103417
A_15_P100795	ENSDARG00000037000
A_15_P111346	ENSDARG00000037000
A_15_P213041	ENSDARG00000037000
	ENSDARG00000094837
A_15_P188626	ENSDARG00000069114
A_15_P335509	ENSDARG00000069114
	ENSDARG00000090429
	ENSDARG00000070903
A_15_P164481	ENSDARG00000034757
	ENSDARG00000034757
A_15_P159426	ENSDARG00000022858
	ENSDARG00000099137
	ENSDARG00000063292
	ENSDARG00000097913
	ENSDARG00000095363
A_15_P185606	ENSDARG00000017425
	ENSDARG00000017425
A_15_P106457	ENSDARG00000073786
	ENSDARG00000057143
A_15_P491262	ENSDARG00000103114
A_15_P192016	ENSDARG00000101688
A_15_P119508	ENSDARG00000009401
A_15_P158466	ENSDARG00000009401
A_15_P112144	ENSDARG00000038185
	ENSDARG00000074703
A_15_P159586	ENSDARG00000041205
A_15_P335129	ENSDARG00000041205
A_15_P145441	ENSDARG00000046091
	ENSDARG00000099895
A_15_P207021	ENSDARG00000041140
	ENSDARG00000075758
A_15_P119626	ENSDARG00000075758
	ENSDARG00000096073
A_15_P205646	ENSDARG00000096073
A_15_P145721	ENSDARG00000035607
	ENSDARG00000035607
	ENSDARG00000105387
	ENSDARG00000104704
A_15_P138556	ENSDARG00000013687
	ENSDARG00000096796
A_15_P142366	ENSDARG00000029112
A_15_P505547	ENSDARG00000029112
	ENSDARG00000092949
A_15_P117301	ENSDARG00000015156
A_15_P179841	ENSDARG00000015156
	ENSDARG00000015156
	ENSDARG00000005315
A_15_P114770	ENSDARG00000005315
A_15_P117475	ENSDARG00000005315
A_15_P144286	ENSDARG00000005315
	ENSDARG00000044874
A_15_P209411	ENSDARG00000044874
A_15_P194691	ENSDARG00000058158
A_15_P120032	ENSDARG00000045399
A_15_P345595	ENSDARG00000045399
	ENSDARG00000099345
A_15_P170831	ENSDARG00000093021
A_15_P108193	ENSDARG00000020427
A_15_P285796	ENSDARG00000020427
	ENSDARG00000104298
A_15_P203161	ENSDARG00000098051
A_15_P394265	ENSDARG00000098051
	ENSDARG00000059028
	ENSDARG00000069116
A_15_P111317	ENSDARG00000061948
	ENSDARG00000061852
	ENSDARG00000073773
	ENSDARG00000096648
A_15_P157906	ENSDARG00000056479
A_15_P170011	ENSDARG00000056479
A_15_P190736	ENSDARG00000061940
	ENSDARG00000061940
A_15_P205991	ENSDARG00000100633
A_15_P139756	ENSDARG00000090464
	ENSDARG00000069804
	ENSDARG00000076804
A_15_P105874	ENSDARG00000095268
A_15_P120415	ENSDARG00000095268
A_15_P176546	ENSDARG00000105092
	ENSDARG00000105092
	ENSDARG00000098435
A_15_P144616	ENSDARG00000098435
	ENSDARG00000097709
	ENSDARG00000111623
A_15_P171166	ENSDARG00000069211
A_15_P206396	ENSDARG00000007892
A_15_P301051	ENSDARG00000102956
A_15_P422230	ENSDARG00000102956
A_15_P259596	ENSDARG00000116428
	ENSDARG00000105440
A_15_P103885	ENSDARG00000039605
A_15_P141441	ENSDARG00000000779
A_15_P148615	ENSDARG00000075828
A_15_P111847	ENSDARG00000006040
	ENSDARG00000076169
A_15_P120149	ENSDARG00000076169
A_15_P120857	ENSDARG00000076169
A_15_P150906	ENSDARG00000068870
A_15_P178216	ENSDARG00000068870
A_15_P163631	ENSDARG00000044899
	ENSDARG00000044899
	ENSDARG00000096169
	ENSDARG00000018181
	ENSDARG00000098577
A_15_P154456	ENSDARG00000003527
	ENSDARG00000003527
A_15_P172224	ENSDARG00000090372
A_15_P200031	ENSDARG00000062606
A_15_P391530	ENSDARG00000062606
	ENSDARG00000062606
A_15_P111979	ENSDARG00000075297
A_15_P108380	ENSDARG00000036158
	ENSDARG00000077058
	ENSDARG00000096087
A_15_P210701	ENSDARG00000044972
	ENSDARG00000044972
	ENSDARG00000095151
	ENSDARG00000092963
A_15_P120817	ENSDARG00000036684
A_15_P114923	ENSDARG00000014994
A_15_P119274	ENSDARG00000071560
A_15_P159571	ENSDARG00000029461
A_15_P180046	ENSDARG00000012496
A_15_P121192	ENSDARG00000098612
A_15_P140116	ENSDARG00000098612
	ENSDARG00000096168
	ENSDARG00000096807
	ENSDARG00000076013
	ENSDARG00000076652
	ENSDARG00000091861
A_15_P160886	ENSDARG00000037188
A_15_P116513	ENSDARG00000037188
	ENSDARG00000116643
	ENSDARG00000100341
A_15_P199636	ENSDARG00000095032
	ENSDARG00000095032
	ENSDARG00000094811
A_15_P119738	ENSDARG00000045398
A_15_P156596	ENSDARG00000045398
A_15_P177246	ENSDARG00000045398
A_15_P161185	ENSDARG00000090812
	ENSDARG00000103907
A_15_P150836	ENSDARG00000103907
A_15_P209016	ENSDARG00000045929
A_15_P291611	ENSDARG00000045929
A_15_P603622	ENSDARG00000045929
	ENSDARG00000045929
A_15_P100360	ENSDARG00000012397
A_15_P183771	ENSDARG00000012397
	ENSDARG00000092999
A_15_P114815	ENSDARG00000017673
A_15_P117644	ENSDARG00000017673
A_15_P564652	ENSDARG00000017673
A_15_P575097	ENSDARG00000017673
A_15_P596337	ENSDARG00000017673
A_15_P163301	ENSDARG00000044692
	ENSDARG00000044692
A_15_P152161	ENSDARG00000019503
A_15_P367085	ENSDARG00000019503
	ENSDARG00000019503
	ENSDARG00000102157
	ENSDARG00000057105
A_15_P103078	ENSDARG00000015918
A_15_P121105	ENSDARG00000055115
A_15_P190101	ENSDARG00000006109
A_15_P163536	ENSDARG00000070991
	ENSDARG00000101818
	ENSDARG00000075193
	ENSDARG00000104955
	ENSDARG00000095108
	ENSDARG00000059826
A_15_P159431	ENSDARG00000008439
	ENSDARG00000008439
	ENSDARG00000097016
	ENSDARG00000069780
A_15_P142596	ENSDARG00000069780
	ENSDARG00000057263
A_15_P105644	ENSDARG00000069271
A_15_P131401	ENSDARG00000101890
	ENSDARG00000101890
	ENSDARG00000092951
	ENSDARG00000074599
A_15_P107713	ENSDARG00000074599
A_15_P136936	ENSDARG00000013907
	ENSDARG00000014828
	ENSDARG00000076566
A_15_P368165	ENSDARG00000076566
A_15_P150201	ENSDARG00000009693
	ENSDARG00000009693
A_15_P114976	ENSDARG00000078546
	ENSDARG00000078546
	ENSDARG00000086159
	ENSDARG00000016477
A_15_P210451	ENSDARG00000016477
A_15_P408360	ENSDARG00000016477
A_15_P168426	ENSDARG00000005942
A_15_P153931	ENSDARG00000043466
	ENSDARG00000097947
A_15_P200471	ENSDARG00000058557
	ENSDARG00000035990
A_15_P149121	ENSDARG00000056453
A_15_P181016	ENSDARG00000056453
A_15_P261501	ENSDARG00000056453
	ENSDARG00000056453
	ENSDARG00000073837
A_15_P496587	ENSDARG00000073837
	ENSDARG00000012833
A_15_P202706	ENSDARG00000012833
	ENSDARG00000090386
	ENSDARG00000093709
A_15_P179941	ENSDARG00000030687
	ENSDARG00000078108
	ENSDARG00000076730
	ENSDARG00000100056
A_15_P152571	ENSDARG00000001234
	ENSDARG00000001234
	ENSDARG00000099118
A_15_P117307	ENSDARG00000041323
	ENSDARG00000041323
	ENSDARG00000099752
	ENSDARG00000096320
A_15_P133286	ENSDARG00000017321
A_15_P104700	ENSDARG00000034420
A_15_P144346	ENSDARG00000034420
	ENSDARG00000069484
	ENSDARG00000057414
A_15_P101412	ENSDARG00000013443
A_15_P141301	ENSDARG00000013443
	ENSDARG00000002494
A_15_P160301	ENSDARG00000002494
	ENSDARG00000102024
A_15_P114680	ENSDARG00000102024
A_15_P193281	ENSDARG00000100451
A_15_P119858	ENSDARG00000061757
	ENSDARG00000061757
A_15_P180051	ENSDARG00000003632
	ENSDARG00000077009
A_15_P118532	ENSDARG00000043722
A_15_P116373	ENSDARG00000096888
	ENSDARG00000075859
	ENSDARG00000058574
A_15_P152531	ENSDARG00000025607
	ENSDARG00000025607
	ENSDARG00000079543
A_15_P416375	ENSDARG00000105525
A_15_P160206	ENSDARG00000059406
	ENSDARG00000007385
A_15_P174681	ENSDARG00000007385
	ENSDARG00000089205
	ENSDARG00000094849
	ENSDARG00000027851
	ENSDARG00000101658
	ENSDARG00000027529
A_15_P430530	ENSDARG00000101166
	ENSDARG00000094206
A_15_P198266	ENSDARG00000033259
	ENSDARG00000033259
	ENSDARG00000096779
A_15_P120743	ENSDARG00000025977
	ENSDARG00000025977
	ENSDARG00000103953
A_15_P174146	ENSDARG00000103953
A_15_P377640	ENSDARG00000103953
A_15_P171901	ENSDARG00000094265
	ENSDARG00000086933
A_15_P182201	ENSDARG00000070831
	ENSDARG00000070831
	ENSDARG00000079869
A_15_P301001	ENSDARG00000077167
A_15_P100764	ENSDARG00000003984
	ENSDARG00000063157
A_15_P167661	ENSDARG00000063157
A_15_P167666	ENSDARG00000063157
A_15_P143446	ENSDARG00000062517
A_15_P200271	ENSDARG00000055439
A_15_P286851	ENSDARG00000097535
	ENSDARG00000027899
	ENSDARG00000097080
A_15_P111550	ENSDARG00000098928
A_15_P188366	ENSDARG00000059948
A_15_P176611	ENSDARG00000098924
	ENSDARG00000098924
A_15_P141646	ENSDARG00000061770
	ENSDARG00000061770
	ENSDARG00000105263
A_15_P113591	ENSDARG00000018907
A_15_P147681	ENSDARG00000044436
	ENSDARG00000096645
	ENSDARG00000053370
A_15_P108949	ENSDARG00000030347
	ENSDARG00000030347
	ENSDARG00000071601
A_15_P119357	ENSDARG00000031770
	ENSDARG00000031770
A_15_P178111	ENSDARG00000097236
A_15_P297796	ENSDARG00000097236
	ENSDARG00000097236
	ENSDARG00000087804
A_15_P268726	ENSDARG00000078790
	ENSDARG00000100222
A_15_P141101	ENSDARG00000036438
A_15_P432280	ENSDARG00000036438
	ENSDARG00000036438
A_15_P109662	ENSDARG00000045628
	ENSDARG00000045628
A_15_P142886	ENSDARG00000003750
	ENSDARG00000003750
A_15_P112908	ENSDARG00000033610
A_15_P544632	ENSDARG00000094083
A_15_P204711	ENSDARG00000087369
	ENSDARG00000087369
A_15_P222766	ENSDARG00000061798
A_15_P349980	ENSDARG00000061798
	ENSDARG00000090642
A_15_P120951	ENSDARG00000005112
A_15_P174111	ENSDARG00000005112
	ENSDARG00000005112
	ENSDARG00000103141
A_15_P151188	ENSDARG00000088859
	ENSDARG00000095106
	ENSDARG00000017078
A_15_P117547	ENSDARG00000024967
	ENSDARG00000024967
	ENSDARG00000075116
	ENSDARG00000019392
	ENSDARG00000091705
A_15_P106909	ENSDARG00000044420
A_15_P138476	ENSDARG00000093460
A_15_P171806	ENSDARG00000035563
	ENSDARG00000027584
	ENSDARG00000087403
A_15_P113641	ENSDARG00000008235
A_15_P256756	ENSDARG00000008235
A_15_P169746	ENSDARG00000099923
A_15_P596647	ENSDARG00000099923
A_15_P108837	ENSDARG00000099923
A_15_P495077	ENSDARG00000099923
	ENSDARG00000112648
	ENSDARG00000071333
	ENSDARG00000038805
	ENSDARG00000091733
	ENSDARG00000104911
	ENSDARG00000095965
	ENSDARG00000097469
